Source,Target
Beisen.BSP.Menbership.dll,Beisen.Configuration.dll
Beisen.BSP.Menbership.dll,Beisen.Data.dll
Beisen.BSP.Menbership.dll,Beisen.Common.dll
Beisen.BSP.Menbership.dll,Newtonsoft.Json.dll
Beisen.BSP.MVCExtension.dll,Beisen.Logging.dll
Beisen.BSP.MVCExtension.dll,Beisen.Common.dll
Beisen.BSP.MVCExtension.dll,Beisen.BSP.Menbership.dll
Beisen.BSP.MVCExtension.dll,Beisen.Configuration.dll
Beisen.BSP.MVCExtension.dll,Newtonsoft.Json.dll
Beisen.CampusRecruitReport.Data.dll,Beisen.Logging.dll
Beisen.CampusRecruitReport.Data.dll,Beisen.CampusRecruitReport.Model.dll
Beisen.CampusRecruitReport.Data.dll,Beisen.Assessment.Model.dll
Beisen.CampusRecruitReport.Data.dll,Beisen.AssessmentReport.Data.dll
Beisen.CampusRecruitReport.Data.dll,Beisen.Configuration.dll
Beisen.CampusRecruitReport.Data.dll,Beisen.ReportEngine.Core.dll
Beisen.CampusRecruitReport.Data.dll,Beisen.ReportEngine.ServiceInterface.dll
Beisen.CampusRecruitReport.Data.dll,Beisen.Data.dll
Beisen.CampusRecruitReport.Model.dll,Beisen.ReportEngine.ServiceInterface.dll
Beisen.CampusRecruitReport.ServiceImp.dll,Beisen.ReportEngine.Core.dll
Beisen.CampusRecruitReport.ServiceImp.dll,Beisen.Logging.dll
Beisen.CampusRecruitReport.ServiceImp.dll,Beisen.ReportEngine.ServiceInterface.dll
Beisen.CampusRecruitReport.ServiceImp.dll,Beisen.CampusRecruitReport.Model.dll
Beisen.CampusRecruitReport.ServiceImp.dll,Beisen.Assessment.ServiceInterface.dll
Beisen.CampusRecruitReport.ServiceImp.dll,Beisen.Assessment.Model.dll
Beisen.CampusRecruitReport.ServiceImp.dll,Beisen.AssessmentReport.Model.dll
Beisen.CampusRecruitReport.ServiceImp.dll,Beisen.ESB.ClientProxyFactory.dll
Beisen.CampusRecruitReport.ServiceImp.dll,Beisen.Common.dll
Beisen.CampusRecruitReport.ServiceImp.dll,Beisen.CampusRecruitReport.Workflow.dll
Beisen.CampusRecruitReport.ServiceImp.dll,Beisen.ReportEngine.BizVersion.dll
Beisen.CampusRecruitReport.ServiceImp.dll,Beisen.AssessmentReport.Data.dll
Beisen.CampusRecruitReport.ServiceImp.dll,Beisen.CampusRecruitReport.Data.dll
Beisen.CampusRecruitReport.Workflow.dll,Beisen.ReportEngine.ServiceInterface.dll
Beisen.CampusRecruitReport.Workflow.dll,Beisen.CampusRecruitReport.Model.dll
Beisen.Cassandra.dll,FluentCassandra.dll
Beisen.Cassandra.dll,Beisen.Configuration.dll
Beisen.Cassandra.dll,Beisen.Logging.dll
Beisen.Cassandra.dll,Thrift.dll
Beisen.Cassandra.dll,Ccr.Core.dll
Beisen.Cassandra.dll,Beisen.Common.dll
Beisen.Cassandra.dll,Beisen.Data.dll
Beisen.CassandraV2.dll,Beisen.Configuration.dll
Beisen.CassandraV2.dll,Beisen.Logging.dll
Beisen.CassandraV2.dll,Ccr.Core.dll
Beisen.CassandraV2.dll,Beisen.Common.dll
Beisen.CassandraV2.dll,Beisen.Data.dll
Beisen.Common.dll,Beisen.Configuration.dll
Beisen.Common.dll,Ccr.Core.dll
Beisen.Common.dll,Beisen.Logging.dll
Beisen.Common.dll,Newtonsoft.Json.dll
Beisen.Configuration.dll,Wintellect.PowerThreading.dll
Beisen.Configuration.dll,log4net.dll
Beisen.Configuration.XmlSerializers.dll,Beisen.Configuration.dll
Beisen.Data.dll,Beisen.Logging.dll
Beisen.Data.dll,Beisen.Configuration.dll
Beisen.DataRelay.Contract.dll,MySpace.Shared.dll
Beisen.Definition.Client.dll,Beisen.Definition.dll
Beisen.Definition.dll,Beisen.Entity.dll
Beisen.Definition.dll,Beisen.Common.dll
Beisen.Definition.dll,MySpace.Shared.dll
Beisen.Definition.dll,Beisen.Data.dll
Beisen.DfsClient.dll,Beisen.Configuration.dll
Beisen.DfsClient.dll,Ccr.Core.dll
Beisen.DfsClient.dll,Beisen.Logging.dll
Beisen.DfsClient.dll,Newtonsoft.Json.dll
Beisen.DfsClient.dll,Beisen.CassandraV2.dll
Beisen.DfsClient.dll,Beisen.Common.dll
Beisen.ElasticSearch.dll,Beisen.Configuration.dll
Beisen.ElasticSearch.dll,Beisen.Logging.dll
Beisen.ElasticSearch.dll,Json.Net.3.5.dll
Beisen.Entity.dll,MySpace.Shared.dll
Beisen.Entity.dll,Beisen.Logging.dll
Beisen.Entity.dll,Beisen.Data.dll
Beisen.Entity.dll,MySpace.DataRelay.Common.dll
Beisen.Entity.dll,Beisen.Common.dll
Beisen.Entity.dll,Beisen.Configuration.dll
Beisen.Entity.dll,MySpace.DataRelay.Client.dll
Beisen.ErrorTracker.Application.dll,Beisen.Configuration.dll
Beisen.ErrorTracker.Application.dll,Ccr.Core.dll
Beisen.ErrorTracker.Application.dll,Beisen.Data.dll
Beisen.ErrorTracker.Client.dll,log4net.dll
Beisen.ErrorTracker.Client.dll,Beisen.ErrorTracker.Application.dll
Beisen.ErrorTracker.Client.dll,Beisen.Data.dll
Beisen.ErrorTracker.Client.dll,Beisen.Configuration.dll
Beisen.ESB.ClientProxyFactory.dll,Beisen.Configuration.dll
Beisen.ESB.ClientProxyFactory.dll,Beisen.Logging.dll
Beisen.ESB.OpenApiAuth.dll,Beisen.Entity.dll
Beisen.ESB.OpenApiAuth.dll,MySpace.Shared.dll
Beisen.ESB.OpenApiAuth.dll,Beisen.Logging.dll
Beisen.ESB.OpenApiAuth.dll,Beisen.Data.dll
Beisen.ESB.OpenApiAuth.dll,Beisen.Common.dll
Beisen.ExtractionEngine.Model.dll,Beisen.Logging.dll
Beisen.ExtractionEngine.Model.dll,Beisen.Common.dll
Beisen.Feed.dll,Beisen.Configuration.dll
Beisen.Feed.dll,MySpace.DataRelay.Common.dll
Beisen.Feed.dll,MySpace.Shared.dll
Beisen.Feed.dll,Beisen.Entity.dll
Beisen.Feed.dll,Beisen.ActivityEngine.ServiceInterface.dll
Beisen.Feed.dll,Beisen.Common.dll
Beisen.Feed.dll,MySpace.DataRelay.Client.dll
Beisen.Feed.dll,Beisen.Data.dll
Beisen.Footprint.dll,Beisen.DataRelay.Contract.dll
Beisen.Footprint.dll,Beisen.Common.dll
Beisen.Footprint.dll,MySpace.DataRelay.Client.dll
Beisen.HtmlHelper.Extension.dll,MySpace.Shared.dll
Beisen.HtmlHelper.Extension.dll,Beisen.EntityFramework.Extensions.dll
Beisen.HtmlHelper.Extension.dll,Newtonsoft.Json.dll
Beisen.HtmlHelper.Extension.dll,Beisen.Configuration.dll
Beisen.HtmlHelper.Extension.dll,Beisen.Entity.dll
Beisen.HtmlHelper.Extension2.dll,Beisen.Definition.dll
Beisen.HtmlHelper.Extension2.dll,Beisen.EntityFramework.Extensions.dll
Beisen.HtmlHelper.Extension2.dll,Newtonsoft.Json.dll
Beisen.HtmlHelper.Extension2.dll,Beisen.Definition.Client.dll
Beisen.HtmlHelper.Extension2.dll,Beisen.Configuration.dll
Beisen.I360Report.Data.dll,DundasWinChart.dll
Beisen.I360Report.Data.dll,Beisen.I360Report.Model.dll
Beisen.I360Report.Data.dll,Beisen.Data.dll
Beisen.I360Report.ServiceImp.dll,Beisen.ReportEngine.Core.dll
Beisen.I360Report.ServiceImp.dll,Beisen.Logging.dll
Beisen.I360Report.ServiceImp.dll,Beisen.ReportEngine.ServiceInterface.dll
Beisen.I360Report.ServiceImp.dll,Beisen.I360Report.Model.dll
Beisen.I360Report.ServiceImp.dll,Beisen.Common.dll
Beisen.I360Report.ServiceImp.dll,Beisen.I360Report.Workflow.dll
Beisen.I360Report.Workflow.dll,Beisen.ReportEngine.ServiceInterface.dll
Beisen.I360Report.Workflow.dll,Beisen.I360Report.Model.dll
Beisen.I360Report.Workflow.dll,Beisen.I360Report.Data.dll
Beisen.Indicator.dll,Beisen.DataRelay.Contract.dll
Beisen.Indicator.dll,MySpace.Shared.dll
Beisen.Indicator.dll,MySpace.DataRelay.Client.dll
Beisen.Indicator.dll,MySpace.DataRelay.Common.dll
Beisen.Indicator.dll,Beisen.Common.dll
Beisen.InterestReport.Model.dll,Beisen.ReportEngine.CommonModel.dll
Beisen.Kci.Controller.dll,Beisen.Kci.ServiceInterface.dll
Beisen.Kci.Controller.dll,Beisen.MVCExtension2.dll
Beisen.Kci.Controller.dll,Beisen.Configuration.dll
Beisen.Kci.Controller.dll,Beisen.WebExtension.dll
Beisen.Kci.Controller.dll,Beisen.Web.MvcControl2.dll
Beisen.Kci.Controller.dll,Beisen.Membership2.dll
Beisen.Kci.Controller.dll,Beisen.BeisenUser.ServiceInterface.dll
Beisen.Kci.Controller.dll,Beisen.Kci.ServiceImp.dll
Beisen.Kci.ServiceImp.dll,Beisen.Kci.ServiceInterface.dll
Beisen.Kci.ServiceImp.dll,Beisen.Data.dll
Beisen.Kci.ServiceImp.dll,Beisen.Common.dll
Beisen.Logging.dll,log4net.dll
Beisen.Logging.dll,Beisen.Configuration.dll
Beisen.Logging.XmlSerializers.dll,Beisen.Logging.dll
Beisen.Lucandra.dll,Beisen.Lucene.dll
Beisen.Lucandra.dll,Beisen.Logging.dll
Beisen.Lucandra.dll,FluentCassandra.dll
Beisen.Lucandra.dll,Beisen.Cassandra.dll
Beisen.MailService.PerformanceCounter.dll,Beisen.PerformanceCounter.dll
Beisen.MailService.Sender.dll,Beisen.MailService.ServiceInterface.dll
Beisen.MailService.Sender.dll,Beisen.Logging.dll
Beisen.MailService.Sender.dll,Beisen.Common.dll
Beisen.MailService.Sender.dll,Interop.CDO.dll
Beisen.MailService.Sender.dll,Interop.ADODB.dll
